4.1.4.9.;КГ;269;Складське господарство;Комерційний департамент № 2, Центр "УОС-ДМ" __, Складське господарство;00003231;231;
4.1.4.10.;КГ;270;Енергомеханічна служба;Комерційний департамент № 2, Центр "УОС-ДМ" __, Енергомеханічна служба;00003231;231;
4.1.4.11.;КГ;271;Транспортна служба;Комерційний департамент № 2, Центр "УОС-ДМ" __, Транспортна служба;00003231;231;00005211
4.1.4.1.;КГ;273;Виробництво;Комерційний департамент № 2, Центр "УОС-ДМ" __, Виробництво;00003231;231;00004766
4.1.4.5.;КГ;277;Дільниця утил. боєпр. малого калібру;Комерційний департамент № 2, Центр "УОС-ДМ" __, Дільниця утил. боєпр. малого калібру;00003231;231;
4.1.4.14.;КГ;291;Дільниця утил. боєпр, що містять тротил та гексог.;Комерційний департамент № 2, Центр "УОС-ДМ" __, Дільниця утил. боєпр, що містять тротил та гексог.;00003231;231;
4.1.4.4.;КГ;292;Дільниця утилізації спеціальних боєприпасів;Комерційний департамент № 2, Центр "УОС-ДМ" __, Дільниця утилізації спеціальних боєприпасів;00003231;231;
4.1.4.2.;КГ;293;Дільниця розпатронування пострілів;Комерційний департамент № 2, Центр "УОС-ДМ" __, Дільниця розпатронування пострілів;00003231;231;
4.1.4.3.;КГ;294;Дільниця утилізації метальних зарядів;Комерційний департамент № 2, Центр "УОС-ДМ" __, Дільниця утилізації метальних зарядів;00003231;231;
4.1.4.7.;КГ;295;Група вантажників;Комерційний департамент № 2, Центр "УОС-ДМ" __, Група вантажників;00003231;231;
5.1.1.8.;КГ;340;Дільниця по ремонту засобів зв'язку;Виробничий департамент, Центр озброєння і військової техніки_, Дільниця по ремонту засобів зв'язку;00002122;249;00004904
1.7.1.1.;В;43;Відділ кадрів;Апарат  директора, Департамент кадрів та документообігу, Відділ кадрів;00006052;842;00005356
1.5.2.;В;443;Відділ правового забезпечення та судової роботи;Юридичний департамент, Відділ правового забезпечення та судової роботи;00006012;688;00005346
4.1.4.13.;КГ;494;Диспетчерська служба;Комерційний департамент № 2, Центр "УОС-ДМ" __, Диспетчерська служба;00003231;231;
5.1.1.9.;КГ;579;Дільниця по ремонту виробу БУК М-1;Виробничий департамент, Центр озброєння і військової техніки_, Дільниця по ремонту виробу БУК М-1;00002122;249;00005878
3.1.2.;В;658;Відділ супроводження облікових систем;Департамент економіки та фінансів, Відділ супроводження облікових систем;00006014;737;00003122
1.7.5.;В;741;Адміністративно-господарський відділ;Апарат  директора, Адміністративно-господарський відділ;00006052;641;00004313
4.1.3.;КВ;752;Відділ утилізації боєприпасів та демілітаризац ОВТ;Комерційний департамент № 2, Відділ утилізації боєпрпасів та деміліт.ОВТ, Відділ утилізації боєприпасів та демілітаризац ОВТ;00003231;932;00003256
1.7.4.;В;847;Відділ інформ. забезпечення та виставкової діяльн;Апарат  директора, Відділ інформ. забезпечення та виставкової діяльн;00006052;641;00005327
1.6.1.;В;850;Відділ внутрішньої охорони;Департамент безпеки, Відділ внутрішньої охорони;00006012;849;
1.6.3.;В;851;Відділ внутрішньої безпеки;Департамент безпеки, Відділ внутрішньої безпеки;00006012;849;00006429
5.1.1.7.;КГ;869;Дільниця № 3 передпродажної підготовки ОВТ;Виробничий департамент, Центр озброєння і військової техніки_, Дільниця № 3 передпродажної підготовки ОВТ;00002122;249;00003905
1.7.5.1.;Г;890;Медичний центр;Апарат  директора, Адміністративно-господарський відділ, Медичний центр;00006052;741;00003768
1.6.1.1.;Г;919;Група технічних засобів охорони;Департамент безпеки, Відділ внутрішньої охорони, Група технічних засобів охорони;00006012;850;00006554
5.1.1.11.;КГ;920;Дільниця з розробки та виготовлення НВЧ приладів;Виробничий департамент, Центр озброєння і військової техніки_, Дільниця з розробки та виготовлення НВЧ приладів;00002122;249;00006419
4.1.1;КВ;926;Комерційний відділ № 1;Комерційний департамент № 2, Комерційний відділ № 1;00003231;932;00006152
2.1.2;КВ;937;Комерційний відділ № 7;Комерційний департамент № 1, Комерційний відділ № 7;00006360;924;00005010
4.1.2.;КВ;940;Комерційний відділ № 8;Комерційний департамент № 2, Комерційний відділ № 8;00003231;932;00004412
4.1.2.1.;КГ;941;Виробнича група комерційного відділу № 8;Комерційний департамент № 2, Комерційний відділ № 8, Виробнича група комерційного відділу № 8;00003231;940;00006481
5.1.6.;КВ;947;Комерційнийвідділ № 14;Виробничий департамент, Комерційний відділ № 14, Комерційнийвідділ № 14;00002122;723;00004387
5.1.1.11;КГ;952;Дільниця з ремонту засобів РЛС;Виробничий департамент, Центр озброєння і військової техніки_, Дільниця з ремонту засобів РЛС;00002122;249;
1.7.6.;В;954;Служба внутрішньофірмового експортного контролю;Апарат  директора, Служба внутрішньофірмового експортного контролю;00006052;641;00000134
1.7.6.2.;Г;957;Відділ логістичного забезпечення;Апарат  директора, Служба внутрішньофірмового експортного контролю, Відділ логістичного забезпечення;00006052;954;00002609
5.1.1.1.;КВ;366;Виробничий відділ;Виробничий департамент, Центр озброєння і військової техніки_, Виробничий відділ;00002122;249;00003578
;КВ;46;Експортно-імпортний відділ;_Старі підрозділи (не використовувати), _До 10.04.2008, Експортно-імпортний відділ;00000017;46;00000084
1.7.1.2.;В;642;Канцелярія;Апарат  директора, Департамент кадрів та документообігу, Канцелярія;00006052;842;00005462
5.1.1.1.1.;К;685;група по роботі з радіотехнічними системами;Виробничий департамент, Центр озброєння і військової техніки_, Виробничий відділ, група по роботі з радіотехнічними системами;00002122;366;00006182
1.7.1.3.;В;73;Відділ перекладів та технічної документації;Апарат  директора, Департамент кадрів та документообігу, Відділ перекладів та технічної документації;00006052;842;00000068
1.7.5.2.1.;;755;Енергетична дільниця №1;Апарат  директора, Адміністративно-господарський відділ, Енергетична служба, Енергетична дільниця №1;00006052;754;
1.7.5.2.2.;;756;Енергетична дільниця №2;Апарат  директора, Адміністративно-господарський відділ, Енергетична служба, Енергетична дільниця №2;00006052;754;
1.6.2.1.;Г;824;Відділ підсилення охорони;Департамент безпеки, Служба охоронної діяльності, Відділ підсилення охорони;00006012;823;00006262
1.7.6.1.;Г;956;Відділ експортного контролю;Апарат  директора, Служба внутрішньофірмового експортного контролю, Відділ експортного контролю;00006052;954;00006353
